NAME:,walk_4_1.csv,,
EXPERIMENT TIME:,18/06/2023 05:33,,
ACTIVITY TYPE:,Walking,,
COUNT OF ACTUAL STEPS: ,100,,
,,,
Time [sec],ACC X,ACC Y,ACC Z
0,9.65,-0.67,0.51
0.07098389,9.61,-0.59,0.43
0.14199829,9.57,-0.75,0.47
0.21298218,9.65,-0.82,0.43
0.28399658,9.65,-0.86,0.43
0.35498047,9.61,-0.82,0.47
0.42599487,9.57,-0.82,0.35
0.49697876,9.34,-0.43,0.39
0.56799316,9.73,-0.71,-0.35
0.63897705,9.57,-1.02,0.24
0.70999146,9.02,-1.57,0.86
0.78097534,9.81,-2.16,-0.59
0.85198975,11.02,1.53,-1.18
0.92297363,9.89,-0.9,-0.98
0.99398804,9.18,-0.82,-0.98
1.0649719,9.77,-0.16,-1.14
1.1359863,9.02,-0.04,-1.49
1.2070007,9.77,-0.08,-1.53
1.2779846,9.06,-0.51,-1.96
1.348999,10.75,-1.8,-2
1.4199829,12,-1.77,0.24
1.4909973,12,-0.94,0.04
1.5619812,6.55,-3.8,2.31
1.6329956,7.53,-4.08,3.22
1.7039795,8.55,-0.98,1.88
1.7749939,8,-1.84,0.75
1.8459778,8.59,-0.43,0.35
1.9169922,8.67,-0.39,0.04
1.9879761,8.98,-0.98,0.35
2.0589905,9.34,-0.16,0.98
2.1299744,10.08,0.67,0.27
2.2009888,10.28,2.39,-2.51
2.2719727,14.47,0.43,3.8
2.342987,9.45,-9.06,9.57
2.413971,9.49,-1.06,-0.47
2.4849854,8,-0.39,0.27
2.5559998,7.85,0.31,-0.94
2.6269836,7.81,-1.73,0.51
2.697998,8.55,-0.63,-0.98
2.768982,9.49,-0.59,-1.49
2.8399963,12.28,-0.78,-2.04
2.9109802,14.51,-5.22,4.08
2.9819946,3.8,0.82,0.98
3.0529785,10.28,-4.47,2.82
3.123993,7.49,-0.86,1.14
3.1949768,8,-1.8,1.69
3.2659912,8.55,-1.73,1.29
3.336975,8.83,0.78,-0.82
3.4079895,9.77,-0.59,-0.47
3.4789734,9.89,1.53,1.26
3.5499878,10.08,0.63,-2.98
3.6209717,13.57,-2.24,0.86
3.691986,10.04,-4.67,8.67
3.7630005,8.36,2.39,0.47
3.8339844,8.36,-1.96,2.59
3.9049988,7.18,-0.71,-0.12
3.9759827,8.12,-1.33,-0.51
4.046997,8.39,-0.71,-1.14
